title_link,title_link/_text,title_link/_title,author_value,book_link,book_link/_text,book_link/_title,"_PAGE_NUMBER"
"http://bon.edu.pl/katalog/lektura/dzielnica-polnocna-w-warszawie-miasto-w-miescie/","""Dzielnica Północna"" w Warszawie: miasto w mieście?","","Bergman Eleonora","http://bon.edu.pl/katalog/lektura/dzielnica-polnocna-w-warszawie-miasto-w-miescie/","book","","1"
"http://bon.edu.pl/katalog/lektura/i-ciagle-widze-ich-twarze/","""I ciągle widzę ich twarze ... ""","","Poprzęcka Maria","http://bon.edu.pl/katalog/lektura/i-ciagle-widze-ich-twarze/","book","","1"
"http://bon.edu.pl/katalog/lektura/mijaja-lata-naszego-swiata-rzeczy-ostateczne-w-sztuce-staroobrzedowcow/","„Mijają lata naszego świata...”. Rzeczy ostateczne w sztuce staroobrzędowców","","Sulikowska Aleksandra","http://bon.edu.pl/katalog/lektura/mijaja-lata-naszego-swiata-rzeczy-ostateczne-w-sztuce-staroobrzedowcow/","book","","1"
"http://bon.edu.pl/katalog/lektura/moja-polska-w-pieciu-obrazkach/","„Moja” Polska w pięciu obrazkach","","Zatloukal Pavel","http://bon.edu.pl/katalog/lektura/moja-polska-w-pieciu-obrazkach/","book","","1"
"http://bon.edu.pl/katalog/lektura/nie-mozemy-zyc-w-swiecie-wyobrazonym/","„Nie możemy żyć w świecie wyobrażonym""","","Caramitru Ion","http://bon.edu.pl/katalog/lektura/nie-mozemy-zyc-w-swiecie-wyobrazonym/","book","","1"
"http://bon.edu.pl/katalog/lektura/nie-witalizacja-dziedzictwa-zydowskiego-minska-i-jej-mozliwe-przyczyny/","„Nie-witalizacja"" dziedzictwa żydowskiego Mińska i jej możliwe przyczyny","","Gendel Jewsiej","http://bon.edu.pl/katalog/lektura/nie-witalizacja-dziedzictwa-zydowskiego-minska-i-jej-mozliwe-przyczyny/","book","","1"
"http://bon.edu.pl/katalog/lektura/otwarty-regionalizm-praktyczna-filozofia-obywatelska/","„Otwarty regionalizm” praktyczna filozofia obywatelska","","Traba Robert","http://bon.edu.pl/katalog/lektura/otwarty-regionalizm-praktyczna-filozofia-obywatelska/","book","","1"
"http://bon.edu.pl/katalog/lektura/polityka-polska-czyli-szkola-jezykowa-polskiej-prawicy/","""Polityka Polska"" czyli szkoła językowa polskiej prawicy","","Wołek Artur","http://bon.edu.pl/katalog/lektura/polityka-polska-czyli-szkola-jezykowa-polskiej-prawicy/","book","","1"
"http://bon.edu.pl/katalog/lektura/rzymski-limes-i-przedmurze-chrzescijanstwa-w-wegierskiej-wyobrazni-historycznej/","„Rzymski limes” i „przedmurze chrześcijaństwa” w węgierskiej wyobraźni historycznej","","Erdősi Péter","http://bon.edu.pl/katalog/lektura/rzymski-limes-i-przedmurze-chrzescijanstwa-w-wegierskiej-wyobrazni-historycznej/","book","","1"
"http://bon.edu.pl/katalog/lektura/swiat-po-katastrofie-w-poszukiwaniu-utraconej-pamieci/","„Świat po katastrofie“ – w poszukiwaniu utraconej pamięci","","Purchla Jacek","http://bon.edu.pl/katalog/lektura/swiat-po-katastrofie-w-poszukiwaniu-utraconej-pamieci/","book","","1"
